"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2018","01","01021","Chilton County (AL)","43,651","7,542","6,164","8,920","6,164 to 8,920","17.3","14.1","20.5","14.1 to 20.5","10,294","2,401","1,770","3,032","1,770 to 3,032","23.3","17.2","29.4","17.2 to 29.4","7,621","1,730","1,250","2,210","1,250 to 2,210","22.7","16.4","29.0","16.4 to 29.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,547","$42,940","$52,154","$42,940 to $52,154"
"2018","01","01023","Choctaw County (AL)","12,682","2,806","2,161","3,451","2,161 to 3,451","22.1","17.0","27.2","17.0 to 27.2","2,535","813","608","1,018","608 to 1,018","32.1","24.0","40.2","24.0 to 40.2","1,873","546","382","710","382 to 710","29.2","20.4","38.0","20.4 to 38.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,907","$36,327","$43,487","$36,327 to $43,487"
"2018","01","01025","Clarke County (AL)","23,608","5,381","4,430","6,332","4,430 to 6,332","22.8","18.8","26.8","18.8 to 26.8","5,134","1,625","1,203","2,047","1,203 to 2,047","31.7","23.5","39.9","23.5 to 39.9","3,776","1,185","853","1,517","853 to 1,517","31.4","22.6","40.2","22.6 to 40.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,741","$36,839","$44,643","$36,839 to $44,643"
"2018","01","01027","Clay County (AL)","12,986","2,285","1,811","2,759","1,811 to 2,759","17.6","13.9","21.3","13.9 to 21.3","2,649","684","503","865","503 to 865","25.8","19.0","32.6","19.0 to 32.6","1,971","493","347","639","347 to 639","25.0","17.6","32.4","17.6 to 32.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,201","$35,145","$43,257","$35,145 to $43,257"
"2018","01","01029","Cleburne County (AL)","14,750","2,356","1,859","2,853","1,859 to 2,853","16.0","12.6","19.4","12.6 to 19.4","3,340","764","574","954","574 to 954","22.9","17.2","28.6","17.2 to 28.6","2,462","563","419","707","419 to 707","22.9","17.1","28.7","17.1 to 28.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,495","$42,459","$50,531","$42,459 to $50,531"
"2018","01","01031","Coffee County (AL)","51,228","7,053","5,821","8,285","5,821 to 8,285","13.8","11.4","16.2","11.4 to 16.2","12,074","2,640","2,037","3,243","2,037 to 3,243","21.9","16.9","26.9","16.9 to 26.9","8,925","1,794","1,305","2,283","1,305 to 2,283","20.1","14.6","25.6","14.6 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,122","$51,227","$59,017","$51,227 to $59,017"
"2018","01","01033","Colbert County (AL)","54,135","7,459","6,059","8,859","6,059 to 8,859","13.8","11.2","16.4","11.2 to 16.4","11,163","2,345","1,714","2,976","1,714 to 2,976","21.0","15.3","26.7","15.3 to 26.7","8,110","1,567","1,089","2,045","1,089 to 2,045","19.3","13.4","25.2","13.4 to 25.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,055","$46,196","$51,914","$46,196 to $51,914"
"2018","01","01035","Conecuh County (AL)","12,190","2,979","2,247","3,711","2,247 to 3,711","24.4","18.4","30.4","18.4 to 30.4","2,506","1,005","730","1,280","730 to 1,280","40.1","29.1","51.1","29.1 to 51.1","1,872","728","508","948","508 to 948","38.9","27.2","50.6","27.2 to 50.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,613","$29,644","$35,582","$29,644 to $35,582"
"2018","01","01037","Coosa County (AL)","10,442","1,973","1,505","2,441","1,505 to 2,441","18.9","14.4","23.4","14.4 to 23.4","1,747","526","387","665","387 to 665","30.1","22.1","38.1","22.1 to 38.1","1,264","385","276","494","276 to 494","30.5","21.9","39.1","21.9 to 39.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,423","$38,174","$46,672","$38,174 to $46,672"
"2018","01","01039","Covington County (AL)","36,361","7,239","6,065","8,413","6,065 to 8,413","19.9","16.7","23.1","16.7 to 23.1","7,934","2,341","1,847","2,835","1,847 to 2,835","29.5","23.3","35.7","23.3 to 35.7","5,774","1,745","1,362","2,128","1,362 to 2,128","30.2","23.6","36.8","23.6 to 36.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,203","$37,062","$43,344","$37,062 to $43,344"
"2018","01","01041","Crenshaw County (AL)","13,638","2,661","2,057","3,265","2,057 to 3,265","19.5","15.1","23.9","15.1 to 23.9","3,104","957","697","1,217","697 to 1,217","30.8","22.4","39.2","22.4 to 39.2","2,321","681","475","887","475 to 887","29.3","20.4","38.2","20.4 to 38.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,057","$34,833","$43,281","$34,833 to $43,281"
"2018","01","01043","Cullman County (AL)","82,166","11,925","9,926","13,924","9,926 to 13,924","14.5","12.1","16.9","12.1 to 16.9","18,309","3,604","2,745","4,463","2,745 to 4,463","19.7","15.0","24.4","15.0 to 24.4","13,241","2,624","1,953","3,295","1,953 to 3,295","19.8","14.7","24.9","14.7 to 24.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,796","$42,695","$48,897","$42,695 to $48,897"
"2018","01","01045","Dale County (AL)","47,876","7,743","6,338","9,148","6,338 to 9,148","16.2","13.3","19.1","13.3 to 19.1","11,051","2,698","2,000","3,396","2,000 to 3,396","24.4","18.1","30.7","18.1 to 30.7","7,843","1,911","1,381","2,441","1,381 to 2,441","24.4","17.6","31.2","17.6 to 31.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,309","$40,965","$49,653","$40,965 to $49,653"
"2018","01","01047","Dallas County (AL)","37,731","11,841","9,598","14,084","9,598 to 14,084","31.4","25.5","37.3","25.5 to 37.3","8,956","4,295","3,359","5,231","3,359 to 5,231","48.0","37.6","58.4","37.6 to 58.4","6,650","3,013","2,261","3,765","2,261 to 3,765","45.3","34.0","56.6","34.0 to 56.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,035","$31,607","$36,463","$31,607 to $36,463"
"2018","01","01049","DeKalb County (AL)","70,444","14,975","13,282","16,668","13,282 to 16,668","21.3","18.9","23.7","18.9 to 23.7","16,862","4,990","4,274","5,706","4,274 to 5,706","29.6","25.4","33.8","25.4 to 33.8","12,729","3,773","3,275","4,271","3,275 to 4,271","29.6","25.7","33.5","25.7 to 33.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,491","$36,085","$42,897","$36,085 to $42,897"
"2018","01","01051","Elmore County (AL)","76,732","8,559","6,765","10,353","6,765 to 10,353","11.2","8.9","13.5","8.9 to 13.5","17,927","2,924","2,112","3,736","2,112 to 3,736","16.3","11.8","20.8","11.8 to 20.8","13,294","2,100","1,463","2,737","1,463 to 2,737","15.8","11.0","20.6","11.0 to 20.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,367","$56,528","$64,206","$56,528 to $64,206"
"2018","01","01053","Escambia County (AL)","33,949","8,022","6,521","9,523","6,521 to 9,523","23.6","19.2","28.0","19.2 to 28.0","8,069","2,648","2,061","3,235","2,061 to 3,235","32.8","25.5","40.1","25.5 to 40.1","5,921","1,867","1,402","2,332","1,402 to 2,332","31.5","23.7","39.3","23.7 to 39.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,418","$34,921","$41,915","$34,921 to $41,915"
"2018","01","01055","Etowah County (AL)","100,305","17,509","15,140","19,878","15,140 to 19,878","17.5","15.1","19.9","15.1 to 19.9","21,502","6,191","5,179","7,203","5,179 to 7,203","28.8","24.1","33.5","24.1 to 33.5","15,684","3,930","3,063","4,797","3,063 to 4,797","25.1","19.6","30.6","19.6 to 30.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,903","$41,940","$47,866","$41,940 to $47,866"
"2018","01","01057","Fayette County (AL)","16,161","3,801","3,185","4,417","3,185 to 4,417","23.5","19.7","27.3","19.7 to 27.3","3,421","1,279","1,062","1,496","1,062 to 1,496","37.4","31.1","43.7","31.1 to 43.7","2,514","982","819","1,145","819 to 1,145","39.1","32.6","45.6","32.6 to 45.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,254","$35,024","$43,484","$35,024 to $43,484"
"2018","01","01059","Franklin County (AL)","30,975","5,939","4,833","7,045","4,833 to 7,045","19.2","15.6","22.8","15.6 to 22.8","7,540","2,270","1,782","2,758","1,782 to 2,758","30.1","23.6","36.6","23.6 to 36.6","5,511","1,589","1,203","1,975","1,203 to 1,975","28.8","21.8","35.8","21.8 to 35.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,388","$35,417","$43,359","$35,417 to $43,359"
"2018","01","01061","Geneva County (AL)","25,998","5,537","4,537","6,537","4,537 to 6,537","21.3","17.5","25.1","17.5 to 25.1","5,677","1,676","1,242","2,110","1,242 to 2,110","29.5","21.8","37.2","21.8 to 37.2","4,280","1,149","814","1,484","814 to 1,484","26.8","19.0","34.6","19.0 to 34.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,823","$33,925","$41,721","$33,925 to $41,721"
"2018","01","01063","Greene County (AL)","8,174","2,459","1,877","3,041","1,877 to 3,041","30.1","23.0","37.2","23.0 to 37.2","1,809","796","561","1,031","561 to 1,031","44.0","31.0","57.0","31.0 to 57.0","1,345","571","387","755","387 to 755","42.5","28.8","56.2","28.8 to 56.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,524","$25,352","$31,696","$25,352 to $31,696"
"2018","01","01065","Hale County (AL)","14,483","3,705","2,931","4,479","2,931 to 4,479","25.6","20.3","30.9","20.3 to 30.9","3,354","1,194","880","1,508","880 to 1,508","35.6","26.2","45.0","26.2 to 45.0","2,395","814","564","1,064","564 to 1,064","34.0","23.5","44.5","23.5 to 44.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,724","$30,954","$38,494","$30,954 to $38,494"
"2018","01","01067","Henry County (AL)","16,956","3,037","2,388","3,686","2,388 to 3,686","17.9","14.1","21.7","14.1 to 21.7","3,475","945","706","1,184","706 to 1,184","27.2","20.3","34.1","20.3 to 34.1","2,584","630","446","814","446 to 814","24.4","17.3","31.5","17.3 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,027","$41,394","$50,660","$41,394 to $50,660"
"2018","01","01069","Houston County (AL)","103,155","17,032","14,978","19,086","14,978 to 19,086","16.5","14.5","18.5","14.5 to 18.5","23,594","5,158","4,126","6,190","4,126 to 6,190","21.9","17.5","26.3","17.5 to 26.3","17,355","3,759","2,933","4,585","2,933 to 4,585","21.7","16.9","26.5","16.9 to 26.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,993","$45,283","$50,703","$45,283 to $50,703"
"2018","01","01071","Jackson County (AL)","51,093","10,046","8,671","11,421","8,671 to 11,421","19.7","17.0","22.4","17.0 to 22.4","10,577","2,834","2,305","3,363","2,305 to 3,363","26.8","21.8","31.8","21.8 to 31.8","7,859","1,801","1,358","2,244","1,358 to 2,244","22.9","17.3","28.5","17.3 to 28.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,929","$37,906","$45,952","$37,906 to $45,952"
"2018","01","01073","Jefferson County (AL)","643,261","103,604","95,029","112,179","95,029 to 112,179","16.1","14.8","17.4","14.8 to 17.4","147,303","33,329","29,089","37,569","29,089 to 37,569","22.6","19.7","25.5","19.7 to 25.5","106,325","22,431","19,003","25,859","19,003 to 25,859","21.1","17.9","24.3","17.9 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,013","$53,290","$56,736","$53,290 to $56,736"
"2018","01","01075","Lamar County (AL)","13,608","2,374","1,826","2,922","1,826 to 2,922","17.4","13.4","21.4","13.4 to 21.4","2,919","739","531","947","531 to 947","25.3","18.2","32.4","18.2 to 32.4","2,182","503","344","662","344 to 662","23.1","15.8","30.4","15.8 to 30.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,936","$36,518","$45,354","$36,518 to $45,354"
"2018","01","01077","Lauderdale County (AL)","90,206","12,645","10,581","14,709","10,581 to 14,709","14.0","11.7","16.3","11.7 to 16.3","17,902","3,196","2,413","3,979","2,413 to 3,979","17.9","13.5","22.3","13.5 to 22.3","13,235","2,113","1,523","2,703","1,523 to 2,703","16.0","11.5","20.5","11.5 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,707","$44,800","$52,614","$44,800 to $52,614"
"2018","01","01079","Lawrence County (AL)","32,616","6,297","5,272","7,322","5,272 to 7,322","19.3","16.2","22.4","16.2 to 22.4","6,998","2,200","1,813","2,587","1,813 to 2,587","31.4","25.9","36.9","25.9 to 36.9","5,225","1,734","1,447","2,021","1,447 to 2,021","33.2","27.7","38.7","27.7 to 38.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,909","$40,237","$47,581","$40,237 to $47,581"
"2018","01","01081","Lee County (AL)","158,674","30,075","26,732","33,418","26,732 to 33,418","19.0","16.9","21.1","16.9 to 21.1","34,326","6,608","5,327","7,889","5,327 to 7,889","19.3","15.6","23.0","15.6 to 23.0","24,866","4,770","3,799","5,741","3,799 to 5,741","19.2","15.3","23.1","15.3 to 23.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,937","$44,909","$52,965","$44,909 to $52,965"
"2018","01","01083","Limestone County (AL)","93,176","10,633","8,515","12,751","8,515 to 12,751","11.4","9.1","13.7","9.1 to 13.7","21,330","3,377","2,583","4,171","2,583 to 4,171","15.8","12.1","19.5","12.1 to 19.5","16,020","2,529","1,934","3,124","1,934 to 3,124","15.8","12.1","19.5","12.1 to 19.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$64,863","$60,715","$69,011","$60,715 to $69,011"
"2018","01","01085","Lowndes County (AL)","9,861","2,474","1,900","3,048","1,900 to 3,048","25.1","19.3","30.9","19.3 to 30.9","2,238","886","632","1,140","632 to 1,140","39.6","28.3","50.9","28.3 to 50.9","1,630","654","448","860","448 to 860","40.1","27.4","52.8","27.4 to 52.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,973","$30,383","$37,563","$30,383 to $37,563"
"2018","01","01087","Macon County (AL)","16,682","5,031","3,952","6,110","3,952 to 6,110","30.2","23.7","36.7","23.7 to 36.7","3,021","1,199","843","1,555","843 to 1,555","39.7","27.9","51.5","27.9 to 51.5","2,182","852","568","1,136","568 to 1,136","39.0","26.0","52.0","26.0 to 52.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,495","$29,370","$35,620","$29,370 to $35,620"
"2018","01","01089","Madison County (AL)","357,725","42,667","37,832","47,502","37,832 to 47,502","11.9","10.5","13.3","10.5 to 13.3","78,668","13,306","11,021","15,591","11,021 to 15,591","16.9","14.0","19.8","14.0 to 19.8","57,692","8,794","6,998","10,590","6,998 to 10,590","15.2","12.1","18.3","12.1 to 18.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,755","$60,984","$66,526","$60,984 to $66,526"
"2018","01","01091","Marengo County (AL)","18,778","4,499","3,580","5,418","3,580 to 5,418","24.0","19.1","28.9","19.1 to 28.9","4,285","1,479","1,106","1,852","1,106 to 1,852","34.5","25.8","43.2","25.8 to 43.2","3,096","1,025","729","1,321","729 to 1,321","33.1","23.5","42.7","23.5 to 42.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,733","$33,566","$41,900","$33,566 to $41,900"
"2018","01","01093","Marion County (AL)","28,947","5,844","4,818","6,870","4,818 to 6,870","20.2","16.7","23.7","16.7 to 23.7","6,065","1,664","1,254","2,074","1,254 to 2,074","27.4","20.6","34.2","20.6 to 34.2","4,491","1,161","828","1,494","828 to 1,494","25.9","18.5","33.3","18.5 to 33.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,887","$34,014","$41,760","$34,014 to $41,760"
"2018","01","01095","Marshall County (AL)","94,623","17,341","14,934","19,748","14,934 to 19,748","18.3","15.8","20.8","15.8 to 20.8","23,401","6,532","5,366","7,698","5,366 to 7,698","27.9","22.9","32.9","22.9 to 32.9","16,782","4,510","3,620","5,400","3,620 to 5,400","26.9","21.6","32.2","21.6 to 32.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,233","$42,465","$50,001","$42,465 to $50,001"
"2018","01","01097","Mobile County (AL)","406,418","84,539","76,590","92,488","76,590 to 92,488","20.8","18.8","22.8","18.8 to 22.8","95,031","29,853","26,306","33,400","26,306 to 33,400","31.4","27.7","35.1","27.7 to 35.1","68,382","20,805","18,154","23,456","18,154 to 23,456","30.4","26.5","34.3","26.5 to 34.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,598","$41,273","$45,923","$41,273 to $45,923"
"2018","01","01099","Monroe County (AL)","20,793","4,560","3,497","5,623","3,497 to 5,623","21.9","16.8","27.0","16.8 to 27.0","4,478","1,416","1,016","1,816","1,016 to 1,816","31.6","22.7","40.5","22.7 to 40.5","3,381","1,019","705","1,333","705 to 1,333","30.1","20.8","39.4","20.8 to 39.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,556","$35,396","$43,716","$35,396 to $43,716"
"2018","01","01101","Montgomery County (AL)","216,222","43,567","38,512","48,622","38,512 to 48,622","20.1","17.8","22.4","17.8 to 22.4","51,775","16,182","13,654","18,710","13,654 to 18,710","31.3","26.4","36.2","26.4 to 36.2","36,808","11,756","9,685","13,827","9,685 to 13,827","31.9","26.3","37.5","26.3 to 37.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,640","$47,820","$51,460","$47,820 to $51,460"
"2018","01","01103","Morgan County (AL)","116,922","15,419","12,500","18,338","12,500 to 18,338","13.2","10.7","15.7","10.7 to 15.7","26,685","5,355","4,051","6,659","4,051 to 6,659","20.1","15.2","25.0","15.2 to 25.0","19,704","3,654","2,710","4,598","2,710 to 4,598","18.5","13.7","23.3","13.7 to 23.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,797","$49,692","$55,902","$49,692 to $55,902"
"2018","01","01105","Perry County (AL)","8,335","2,943","2,239","3,647","2,239 to 3,647","35.3","26.9","43.7","26.9 to 43.7","1,914","1,010","738","1,282","738 to 1,282","52.8","38.6","67.0","38.6 to 67.0","1,423","707","487","927","487 to 927","49.7","34.2","65.2","34.2 to 65.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,814","$24,245","$29,383","$24,245 to $29,383"
"2018","01","01107","Pickens County (AL)","18,108","4,177","3,204","5,150","3,204 to 5,150","23.1","17.7","28.5","17.7 to 28.5","3,842","1,183","855","1,511","855 to 1,511","30.8","22.3","39.3","22.3 to 39.3","2,813","841","580","1,102","580 to 1,102","29.9","20.6","39.2","20.6 to 39.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,586","$33,665","$41,507","$33,665 to $41,507"
"2018","01","01109","Pike County (AL)","31,052","7,315","5,934","8,696","5,934 to 8,696","23.6","19.2","28.0","19.2 to 28.0","6,214","1,900","1,425","2,375","1,425 to 2,375","30.6","22.9","38.3","22.9 to 38.3","4,441","1,312","943","1,681","943 to 1,681","29.5","21.2","37.8","21.2 to 37.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,259","$33,401","$41,117","$33,401 to $41,117"
